"Country","Year","Dentists (per 10 000 population)","Dentists (number)","Dental Assistants and Therapists (number)","Dental Prosthetic Technicians (number)"
"Afghanistan","2016","0.035","120","",""
"Afghanistan","2015","0.036","123","",""
"Afghanistan","2014","0.034","111","",""
"Afghanistan","2008","0.14","382","",""
"Afghanistan","2007","0.117","311","",""
"Afghanistan","2006","0.13","337","",""
"Albania","2006","3.389","1035","",""
"Algeria","2007","3.096","10621","","389"
"Algeria","2005","2.71","9022","",""
"Algeria","2002","2.769","8861","15","677"
"Andorra","2015","8.205","64","",""
"Andorra","2003","6.011","44","",""
"Angola","2004","0.118","222","",""
"Angola","1997","0.001","2","",""
"Antigua and Barbuda","1997","1.673","13","",""
"Argentina","2004","9.19","35592","",""
"Argentina","2001","9.592","35944","",""
"Argentina","1998","7.974","28900","",""
"Argentina","1992","6.507","21900","",""
"Armenia","2014","3.916","1138","",""
"Armenia","2013","4.199","1215","",""
"Armenia","2012","4.476","1290","",""
"Armenia","2011","4.51","1297","",""
"Armenia","2010","4.369","1257","",""
"Australia","2016","5.888","14205","",""
"Australia","2015","5.813","13834","",""
"Australia","2014","5.716","13417","",""
"Australia","2013","5.637","13049","",""
"Australia","2012","5.813","13266","",""
"Australia","2011","5.804","13048","",""
"Australia","2010","5.187","11473","",""
"Australia","2009","6.67","14500","",""
"Australia","2006","14.399","29624","",""
"Australia","2001","4.256","8200","13096",""
"Australia","1996","12.762","23318","",""
"Austria","2017","5.734","5009","",""
"Austria","2016","5.686","4954","",""
"Austria","2015","5.653","4906","",""
"Austria","2014","5.668","4893","",""
"Austria","2013","5.658","4853","",""
"Austria","2012","5.632","4797","",""
"Austria","2011","5.606","4743","",""
"Austria","2010","5.571","4685","",""
"Azerbaijan","2014","2.737","2601","",""
"Azerbaijan","2013","2.613","2452","",""
"Azerbaijan","2012","2.656","2461","",""
"Azerbaijan","2011","2.625","2401","",""
"Azerbaijan","2010","2.731","2467","",""
"Bahamas","2017","2.58","102","",""
"Bahamas","2011","2.291","84","40","6"
"Bahamas","2008","2.266","79","31","5"
"Bahrain","2015","0.977","134","","82"
"Bahrain","2014","0.98","131","","208"
"Bahrain","2013","1.019","134","","196"
"Bahrain","2012","1.069","139","","191"
"Bahrain","2011","0.994","127","","181"
"Bahrain","2010","0.983","122","","172"
"Bahrain","2009","0.996","118","","159"
"Bahrain","2008","1.068","119","","154"
"Bahrain","2006","1.075","103","","150"
"Bahrain","2005","1.102","98","","145"
"Bahrain","2004","2.169","180","96","66"
"Bangladesh","2017","0.495","8155","",""
"Bangladesh","2016","0.43","7015","",""
"Bangladesh","2015","0.404","6520","",""
"Bangladesh","2014","0.399","6360","",""
"Bangladesh","2013","0.383","6034","",""
"Bangladesh","2012","0.309","4815","","2170"
"Bangladesh","2011","0.313","4815","","2170"
"Bangladesh","2010","0.285","4336","","1916"
"Bangladesh","2009","0.255","3841","","1682"
"Bangladesh","2008","0.227","3383","","1436"
"Bangladesh","2007","0.14","2059","","1103"
"Bangladesh","2005","0.163","2344","",""
"Bangladesh","2004","0.138","1948","","589"
"Bangladesh","2002","0.138","1886","",""
"Barbados","2017","3.08","88","",""
"Barbados","2005","3.029","83","11",""
"Barbados","2001","2.216","60","","2"
"Barbados","1995","1.887","50","11",""
"Belarus","2014","5.708","5414","",""
"Belarus","2013","5.482","5196","",""
"Belarus","2012","5.484","5194","",""
"Belarus","2011","5.411","5123","",""
"Belarus","2010","5.37","5087","",""
"Belgium","2016","7.464","8478","",""
"Belgium","2015","7.345","8291","",""
"Belgium","2014","7.227","8108","",""
"Belgium","2013","7.143","7965","",""
"Belgium","2012","7.1","7869","",""
"Belgium","2011","7.062","7777","",""
"Belgium","2010","7.016","7675","",""
"Belgium","2009","7.039","7645","",""
"Belgium","2008","7.196","7757","",""
"Belgium","2007","7.33","7841","",""
"Belgium","2006","7.407","7866","",""
"Belgium","2005","7.33","7731","",""
"Belize","2017","1.548","58","",""
"Belize","2010","0.373","12","",""
"Belize","2009","0.382","12","",""
"Belize","2000","1.294","32","",""
"Benin","2016","0.008","9","",""
"Benin","2008","0.043","37","",""
"Benin","2004","0.014","11","","1"
"Bhutan","2017","0.83","67","","44"
"Bhutan","2007","0.102","7","","58"
"Bhutan","2004","0.156","10","34","14"
"Bolivia (Plurinational State of)","2016","2.23","2428","",""
"Bolivia (Plurinational State of)","2011","1.121","1130","",""
"Bolivia (Plurinational State of)","2010","0.984","976","",""
"Bolivia (Plurinational State of)","2007","0.633","598","",""
"Bolivia (Plurinational State of)","2001","","","742",""
"Bosnia and Herzegovina","2014","2.314","825","",""
"Bosnia and Herzegovina","2013","2.244","809","",""
"Bosnia and Herzegovina","2012","2.398","875","",""
"Bosnia and Herzegovina","2011","2.19","808","",""
"Bosnia and Herzegovina","2010","2.141","797","",""
"Botswana","2016","0.404","91","",""
"Botswana","2012","0.263","55","",""
"Botswana","2011","0.268","55","",""
"Botswana","2010","0.273","55","",""
"Botswana","2009","0.278","55","90",""
"Botswana","2008","0.092","18","80",""
"Botswana","2007","0.167","32","",""
